Title,URL,Date,Primary image,Primary image caption,Primary image rights information,Subjects,Station,State,Place,Keywords,Latitude,Longitude,MediaRSS URL
Mittagong Greeny Flat shows eco-living made easy,http://www.abc.net.au/local/photos/2014/05/26/4012255.htm,26/05/14,http://www.abc.net.au/reslib/201405/r1280295_17329764.jpg,Andy Lemann in front of his environmentally sustainable Greeny Flat in Mittagong.,Copyright: ABC | Source: ABC | Byline: Justin Huntsdale,"Business, Economics and Finance:Industry:Building and Construction, Business, Economics and Finance:Industry:Electricity Energy and Utilities, Environment:Alternative Energy:Solar Energy, Science and Technology:Energy",ABC Illawarra NSW,NSW,Mittagong,"greeny flat, andy lemann, mittagong, energy, building, efficiency, housing, southern highlands, abc illawarra, justin huntsdale",-34.4516,150.4445,http://www.abc.net.au/local/photos/2014/05/26/4012255-mediarss.xml
Indigenous student from outback Queensland wins international modelling prize,http://www.abc.net.au/local/photos/2014/10/01/4098040.htm,1/10/14,http://www.abc.net.au/reslib/201410/r1336129_18613089.JPG,"Venessa Harris, 12, with her mother Karen Monaghan and her grandmother, Lyn Harris.",Copyright: ABC | Source: Contributed | Byline: Tamblyn Models,"Arts and Entertainment, Community and Society:Indigenous (Aboriginal and Torres Strait Islander), Human Interest:People,",ABC Western Queensland,QLD,Windorah,"venessa harris, karen monaghan, modelling, model, aboriginal, indigenous, tamblyn models, way out west fashion quest, native title, Wangkangurru-Yarluyandi, ash moore, blythe moore, abc western queensland, birdsville, windorah, brisbane",-25.4234,142.6554,http://www.abc.net.au/local/photos/2014/10/01/4098040-mediarss.xml
"Seagrass, the tiny plant at the heart of a community",http://www.abc.net.au/local/photos/2014/10/28/4116261.htm,28/10/14,http://www.abc.net.au/reslib/201410/r1347880_18856480.jpg,Broome's community seagrass monitoring group walking off the mudflats of Roebuck Bay as the tide comes in. (27/10/14),Copyright: ABC | Source: ABC Local | Byline: Richard Dinnen,"Science and Technology:Biology:Marine Biology,",ABC Kimberley WA,WA,Broome,broome seagrass marine biology roebuck bay science environment water quality conservation wildlife seaweed Kimberley: Breakfast,-17.957,122.2395,http://www.abc.net.au/local/photos/2014/10/28/4116261-mediarss.xml
Construction well underway on 'awe-inspiring' Yeppen crossing,http://www.abc.net.au/local/photos/2014/12/04/4142510.htm,4/12/14,http://www.abc.net.au/reslib/201412/r1364775_19208653.jpg,"A domestic aircraft passes by the Yeppen South Project piles. Almost 1,300 piles have been driven into the ground as part of the $296 million project.",Copyright: ABC | Source: ABC Local | Byline: Alice Roberts,"Business, Economics and Finance:Industry:Building and Construction, Business, Economics and Finance:Industry:Road Transport, Disasters and Accidents:Floods,",ABC Capricornia,QLD,Rockhampton,"Yeppen South Project, Yeppen, Rockhampton, floods, Department of Transport and Main Roads, construction",-23.3782,150.5106,http://www.abc.net.au/local/photos/2014/12/04/4142510-mediarss.xml
The Bombala Line: Nimmitabel Railway Station,http://www.abc.net.au/local/photos/2014/11/26/4136381.htm,26/11/14,http://www.abc.net.au/reslib/201411/r1360748_19125199.jpg,Rail motors carried passengers between the towns on the Bombala line. The goods train is likely heading to Cooma or Sydney.,Copyright: ABC | Source: Flickr | Byline: Ray McDermott,"Business, Economics and Finance:Industry:Rail Transport, Community and Society:History,",ABC South East NSW,NSW,Nimmitabel,ourstories Bombala Line Nimmitabel Railway Station railway Cooma sheep transport locomotive,-36.4833,149.25,http://www.abc.net.au/local/photos/2014/11/26/4136381-mediarss.xml
Australia's national dish: Bolognese,http://www.abc.net.au/local/photos/2014/12/19/4152135.htm,19/12/14,http://www.abc.net.au/reslib/201412/r1370749_19333536.jpg,"Onions, carrots and celery for the sofritto. Lean beef from Steve Jackson's farm. Guanciale, pork cheek bacon, made by Steve from his farm-bred pig. Homegrown garlic. Tomato paste. Homemade red wine. Fresh tomatoes and a can of tomatoes",Copyright: ABC | Source: ABC South East NSW | Byline: Bill Brown,"Lifestyle and Leisure:Food and Cooking, Lifestyle and Leisure:Recipes,",ABC South East NSW,NSW,Bega,"Bolognese, cooking traditional Italian method recipe spaghetti tagliatelle pork Pancetta Guanciale Steve Jackson chef Geoffrey Guiffre",-36.6755,149.8406,http://www.abc.net.au/local/photos/2014/12/19/4152135-mediarss.xml
UNTOLD: Cabbage Tree Island,http://www.abc.net.au/local/photos/2014/11/05/4122298.htm,5/11/14,http://www.abc.net.au/reslib/201411/r1351589_18936890.jpg,Palm trees at sunrise on Cabbage Tree Island.,Copyright: ABC | Source: ABC | Byline: Margaret Burin,"Community and Society:Indigenous (Aboriginal and Torres Strait Islander):Aboriginal, Community and Society:Indigenous (Aboriginal and Torres Strait Islander), Community and Society:Indigenous (Aboriginal and Torres Strait Islander):Indigenous Culture, Information and Communication",ABC North Coast NSW,NSW,Cabbage Tree Island,"UNTOLD, cabbage tree island, abc north coast, margaret burin, justine frazier, jeff licence, massacres, aboriginal, indigenous, stories, articles,",-28.979777,153.45662,http://www.abc.net.au/local/photos/2014/11/05/4122298-mediarss.xml
Photos of 2014 in the Goldfields-Esperance region,http://www.abc.net.au/local/photos/2014/12/24/4154398.htm,24/12/14,http://www.abc.net.au/reslib/201411/r1362241_19156247.jpg,"Kalgoorlie and Leonora experienced their wettest January on record as a tropical low brought 36 hours of heavy rainfall to the region. It was a big year for spectacular storms, this lightening was captured over Kalgoorlie in November.",Copyright: ABC licensed | Source: Supplied | Byline: Dan Roissetter,"Community and Society,",ABC Goldfields WA,WA,Kalgoorlie,Year in Review 2014 ABC Goldfields Esperance Kalgoorlie Coolgardie Norseman Lake Ballard New,-30.7458,121.4715,http://www.abc.net.au/local/photos/2014/12/24/4154398-mediarss.xml
The stories and pictures of 2014 in the South West,http://www.abc.net.au/local/photos/2014/12/27/4154989.htm,27/12/14,http://www.abc.net.au/reslib/201407/r1302732_17839915.jpg,The kids loved dressing up,Copyright: ABC | Source: ABC Local | Byline: SK,"Community and Society, Human Interest:People,",ABC South West WA,WA,Cowaramup,"southwest, year, pictures, gallery, 2014,",-33.85,115.0833,http://www.abc.net.au/local/photos/2014/12/27/4154989-mediarss.xml
In pictures: 2014 in the Kimberley,http://www.abc.net.au/local/photos/2014/12/16/4149962.htm,16/12/14,http://www.abc.net.au/news/image/5895294-16x9-700x394.jpg,Broome man Adrian Dodson-Shaw with his New York marathon medal on November 16.,Copyright: Audience submitted | Source: | Byline: Supplied: Adrian Dodson-Shaw,"Arts and Entertainment:Photography, Community and Society:Regional,",ABC Kimberley WA,WA,Broome,2014 kimberley pictures photo photography broome Derby Halls Creek Fitzroy Crossing Kununurra,-17.957,122.2395,http://www.abc.net.au/local/photos/2014/12/16/4149962-mediarss.xml
Lake Nash Station: Snapshots of 2014,http://www.abc.net.au/local/photos/2014/12/22/4153153.htm,22/12/14,http://www.abc.net.au/reslib/201412/r1371454_19348314.jpg,"The sun sets on another day on the land, overlooking the homestead at Lake Nash.",Copyright: ABC | Source: Contributed | Byline: Saul Goodwin,"Arts and Entertainment:Photography, Disasters and Accidents:Drought, Human Interest:People, Rural",ABC Western Queensland,QLD,Mount Isa,"fred hughes, sarah hughes, saul goodwin, lake nash station, cattle, photograph, image, photography, picture, drought, aboriginal community, aboriginie, Alpurrurulam, indigenous, Kennis Campbell, Georgie Whatmore, Ed Ross, Ian Campbell, Aaron Land, Harry Buckley, blythe moore, abc north west queensland, abc western queensland, isa, queensland, northern territory,",-20.7287,139.4897,http://www.abc.net.au/local/photos/2014/12/22/4153153-mediarss.xml
